YYMM|CC-CODE|CC-DESC|RCODE-CODE|RCODE-DESC|CCAATT-CODE|CCAATT-DESC|CCAATTMM-CODE|CCAATTMM-DESC|MALE|FEMALE|TOTAL|HOUSE|
6312|0|ทั่วประเทศ|0| |0| |0| |32,375,532|33,811,195|66,186,727|27,224,743|
6312|10|กรุงเทพมหานคร|0| |0| |0| |2,625,938|2,962,284|5,588,222|3,103,483|
6312|11|จังหวัดสมุทรปราการ |0| |0| |0| |644,516|706,963|1,351,479|711,804|
6312|12|จังหวัดนนทบุรี |0| |0| |0| |594,308|682,437|1,276,745|718,799|
6312|13|จังหวัดปทุมธานี |0| |0| |0| |557,752|618,660|1,176,412|642,474|
6312|14|จังหวัดพระนครศรีอยุธยา |0| |0| |0| |393,551|425,537|819,088|336,357|
6312|15|จังหวัดอ่างทอง |0| |0| |0| |132,393|144,191|276,584|101,291|
6312|16|จังหวัดลพบุรี |0| |0| |0| |371,157|371,771|742,928|299,338|
6312|17|จังหวัดสิงห์บุรี |0| |0| |0| |97,897|108,001|205,898|78,410|
6312|18|จังหวัดชัยนาท |0| |0| |0| |155,013|167,464|322,477|126,673|
6312|19|จังหวัดสระบุรี |0| |0| |0| |316,505|327,323|643,828|283,069|
6312|20|จังหวัดชลบุรี |0| |0| |0| |763,983|802,902|1,566,885|1,070,209|
6312|21|จังหวัดระยอง |0| |0| |0| |364,200|377,324|741,524|506,761|
6312|22|จังหวัดจันทบุรี |0| |0| |0| |262,027|273,532|535,559|243,727|
6312|23|จังหวัดตราด |0| |0| |0| |113,131|115,405|228,536|108,270|
6312|24|จังหวัดฉะเชิงเทรา |0| |0| |0| |353,442|367,276|720,718|313,586|
6312|25|จังหวัดปราจีนบุรี |0| |0| |0| |244,018|249,652|493,670|220,064|
6312|26|จังหวัดนครนายก |0| |0| |0| |128,627|131,454|260,081|101,547|
6312|27|จังหวัดสระแก้ว |0| |0| |0| |280,017|280,908|560,925|217,621|
6312|30|จังหวัดนครราชสีมา |0| |0| |0| |1,294,622|1,338,585|2,633,207|1,004,213|
6312|31|จังหวัดบุรีรัมย์ |0| |0| |0| |785,222|795,962|1,581,184|476,118|
6312|32|จังหวัดสุรินทร์ |0| |0| |0| |685,800|692,421|1,378,221|403,890|
6312|33|จังหวัดศรีสะเกษ |0| |0| |0| |726,306|732,274|1,458,580|399,090|
6312|34|จังหวัดอุบลราชธานี |0| |0| |0| |932,400|934,297|1,866,697|616,810|
6312|35|จังหวัดยโสธร |0| |0| |0| |267,016|267,484|534,500|175,666|
6312|36|จังหวัดชัยภูมิ |0| |0| |0| |556,045|568,879|1,124,924|400,583|
6312|37|จังหวัดอำนาจเจริญ |0| |0| |0| |187,309|188,886|376,195|120,188|
6312|38|จังหวัดบึงกาฬ |0| |0| |0| |211,673|210,369|422,042|137,871|
6312|39|จังหวัดหนองบัวลำภู |0| |0| |0| |254,231|255,239|509,470|152,361|
6312|40|จังหวัดขอนแก่น |0| |0| |0| |882,462|912,069|1,794,531|640,781|
6312|41|จังหวัดอุดรธานี |0| |0| |0| |777,107|790,876|1,567,983|528,347|
6312|42|จังหวัดเลย |0| |0| |0| |320,165|318,571|638,736|226,892|
6312|43|จังหวัดหนองคาย |0| |0| |0| |256,823|260,612|517,435|178,748|
6312|44|จังหวัดมหาสารคาม |0| |0| |0| |467,497|486,163|953,660|304,433|
6312|45|จังหวัดร้อยเอ็ด |0| |0| |0| |644,218|654,422|1,298,640|394,597|
6312|46|จังหวัดกาฬสินธุ์ |0| |0| |0| |483,447|493,728|977,175|311,145|
6312|47|จังหวัดสกลนคร |0| |0| |0| |570,285|576,651|1,146,936|387,699|
6312|48|จังหวัดนครพนม |0| |0| |0| |357,594|359,607|717,201|231,315|
6312|49|จังหวัดมุกดาหาร |0| |0| |0| |175,367|175,544|350,911|117,741|
6312|50|จังหวัดเชียงใหม่ |0| |0| |0| |862,874|921,496|1,784,370|835,977|
6312|51|จังหวัดลำพูน |0| |0| |0| |193,381|208,630|402,011|182,323|
6312|52|จังหวัดลำปาง |0| |0| |0| |355,258|373,706|728,964|295,396|
6312|53|จังหวัดอุตรดิตถ์ |0| |0| |0| |218,988|229,757|448,745|172,565|
6312|54|จังหวัดแพร่ |0| |0| |0| |210,973|226,377|437,350|179,040|
6312|55|จังหวัดน่าน |0| |0| |0| |238,738|237,989|476,727|170,708|
6312|56|จังหวัดพะเยา |0| |0| |0| |227,686|239,670|467,356|195,004|
6312|57|จังหวัดเชียงราย |0| |0| |0| |629,960|665,066|1,295,026|558,825|
6312|58|จังหวัดแม่ฮ่องสอน |0| |0| |0| |144,311|140,238|284,549|115,163|
6312|60|จังหวัดนครสวรรค์ |0| |0| |0| |507,379|532,929|1,040,308|420,803|
6312|61|จังหวัดอุทัยธานี |0| |0| |0| |159,322|166,546|325,868|125,666|
6312|62|จังหวัดกำแพงเพชร |0| |0| |0| |352,711|361,407|714,118|278,306|
6312|63|จังหวัดตาก |0| |0| |0| |338,951|331,314|670,265|224,890|
6312|64|จังหวัดสุโขทัย |0| |0| |0| |284,949|302,934|587,883|220,160|
6312|65|จังหวัดพิษณุโลก |0| |0| |0| |416,234|433,247|849,481|352,300|
6312|66|จังหวัดพิจิตร |0| |0| |0| |259,651|272,659|532,310|198,230|
6312|67|จังหวัดเพชรบูรณ์ |0| |0| |0| |484,886|497,054|981,940|364,119|
6312|70|จังหวัดราชบุรี |0| |0| |0| |422,831|446,482|869,313|325,837|
